JYS,ZQLX,KPBZ,MMFX,FYLB,JSFS,FL,SX,XX
SH,ASH,E,2,5,2, 0.000000,            0.00,            0.00
SH,ASH,C,2,1,2,12.000000,            0.00,            0.00
SH,ASH,E,1,1,2,12.000000,            0.00,            0.00
SH,ASH,C,2,3,1, 0.000000,            0.00,            0.00
SH,ASH,E,1,3,3, 0.000500,            0.00,            0.00
SH,ASH,C,2,4,1, 0.000000,            0.00,            0.00
SH,ASH,C,2,5,2, 0.450000,            0.00,            0.00
SH,ASH,E,1,5,2, 0.900000,            0.00,            0.00
SH,EBS,C,2,1,2,10.000000,            0.00,            0.00
SH,EBS,E,1,1,2,10.000000,            0.00,            0.00
SH,EBS,C,2,3,1, 0.000000,            0.00,            0.00
SH,EBS,E,1,3,3, 0.000000,            0.00,            0.00
SH,EBS,C,2,4,1, 0.000000,            0.00,            0.00
SH,EBS,C,2,5,2, 0.300000,            0.00,            0.00
SH,EBS,E,1,5,2, 0.600000,            0.00,            0.00
SH,EBS,C,2,6,2, 1.300000,            0.00,            0.00
SH,EBS,E,1,6,2, 0.000000,            0.00,            0.00
SH,ASH,O,2,1,2, 0.000000,            0.00,            0.00
SH,ASH,O,2,2,1, 0.000000,            0.00,            0.00
SH,ASH,O,2,3,1, 0.000000,            0.00,            0.00
SH,ASH,O,2,4,1, 0.000000,            0.00,            0.00
SH,ASH,O,2,5,2, 0.000000,            0.00,            0.00
SH,ASH,O,2,6,2, 0.000000,            0.00,            0.00
SH,EBS,O,1,1,2,10.000000,            0.00,            0.00
SH,EBS,O,1,2,1, 0.000000,            0.00,            0.00
SH,EBS,O,1,3,1, 0.000000,            0.00,            0.00
SH,EBS,O,1,4,1, 0.000000,            0.00,            0.00
SH,EBS,O,1,5,2, 0.300000,            0.00,            0.00
SH,EBS,O,1,6,2, 1.300000,            0.00,            0.00
SH,ASH,C,1,1,2,12.000000,            0.00,            0.00
SH,ASH,C,1,2,1, 0.000000,            0.00,            0.00
SH,ASH,C,1,3,1, 0.000000,            0.00,            0.00
SH,ASH,C,1,4,1, 0.000000,            0.00,            0.00
SH,ASH,C,1,5,2, 0.450000,            0.00,            0.00
SH,ASH,C,1,6,2, 3.000000,            0.00,            0.00
SH,EBS,C,1,1,2,10.000000,            0.00,            0.00
SH,EBS,C,1,2,1, 0.000000,            0.00,            0.00
SH,EBS,C,1,3,1, 0.000000,            0.00,            0.00
SH,EBS,C,1,4,1, 0.000000,            0.00,            0.00
SH,EBS,C,1,5,2, 0.300000,            0.00,            0.00
SH,EBS,C,1,6,2, 1.300000,            0.00,            0.00
SH,EBS,O,2,1,2, 0.000000,            0.00,            0.00
SH,EBS,O,2,2,1, 0.000000,            0.00,            0.00
SH,EBS,O,2,3,1, 0.000000,            0.00,            0.00
SH,EBS,O,2,4,1, 0.000000,            0.00,            0.00
SH,EBS,O,2,5,2, 0.000000,            0.00,            0.00
SH,EBS,O,2,6,2, 0.000000,            0.00,            0.00
SH,ASH,O,2,1,2, 0.000000,            0.00,            0.00
SH,ASH,O,2,2,1, 0.000000,            0.00,            0.00
SH,ASH,O,2,3,1, 0.000000,            0.00,            0.00
SH,ASH,O,2,4,1, 0.000000,            0.00,            0.00
SH,ASH,O,2,5,2, 0.000000,            0.00,            0.00
SH,ASH,O,2,6,2, 0.000000,            0.00,            0.00
SH,EBS,O,2,1,2, 0.000000,            0.00,            0.00
SH,EBS,O,2,2,1, 0.000000,            0.00,            0.00
SH,EBS,O,2,3,1, 0.000000,            0.00,            0.00
SH,EBS,O,2,4,1, 0.000000,            0.00,            0.00
SH,EBS,O,2,5,2, 0.000000,            0.00,            0.00
SH,EBS,O,2,6,2, 0.000000,            0.00,            0.00
SH,ASH,C,1,1,2,12.000000,            0.00,            0.00
SH,ASH,C,1,2,1, 0.000000,            0.00,            0.00
SH,ASH,C,1,3,1, 0.000000,            0.00,            0.00
SH,ASH,C,1,4,1, 0.000000,            0.00,            0.00
SH,ASH,C,1,5,2, 0.450000,            0.00,            0.00
SH,ASH,C,1,6,2, 3.000000,            0.00,            0.00
SH,EBS,C,1,1,2,10.000000,            0.00,            0.00
SH,EBS,C,1,2,1, 0.000000,            0.00,            0.00
SH,EBS,C,1,3,1, 0.000000,            0.00,            0.00
SH,EBS,C,1,4,1, 0.000000,            0.00,            0.00
SH,EBS,C,1,5,2, 0.300000,            0.00,            0.00
SH,EBS,C,1,6,2, 1.300000,            0.00,            0.00
SH,ASH,O,1,1,2,12.000000,            0.00,            0.00
SH,ASH,O,1,2,1, 0.000000,            0.00,            0.00
SH,ASH,O,1,3,1, 0.000000,            0.00,            0.00
SH,ASH,O,1,4,1, 0.000000,            0.00,            0.00
SH,ASH,O,1,5,2, 0.450000,            0.00,            0.00
SH,ASH,O,1,6,2, 3.000000,            0.00,            0.00
SH,ASH,E,1,2,1, 0.000000,            0.00,            0.00
SH,ASH,E,1,4,1, 0.000000,            0.00,            0.00
SH,ASH,C,2,6,2, 3.000000,            0.00,            0.00
SH,ASH,E,1,6,2, 0.000000,            0.00,            0.00
SH,EBS,C,2,2,1, 0.000000,            0.00,            0.00
SH,EBS,E,1,2,1, 0.000000,            0.00,            0.00
SH,EBS,E,1,4,1, 0.000000,            0.00,            0.00
SH,ASH,C,2,2,1, 0.000000,            0.00,            0.00
SZ,ASH,C,2,1,2,12.000000,            0.00,            0.00
SZ,ASH,E,1,1,2,12.000000,            0.00,            0.00
SZ,ASH,C,2,3,1, 0.000000,            0.00,            0.00
SZ,ASH,E,1,3,3, 0.000500,            0.00,            0.00
SZ,ASH,C,2,4,1, 0.000000,            0.00,            0.00
SZ,ASH,C,2,5,2, 0.450000,            0.00,            0.00
SZ,ASH,E,1,5,2, 0.900000,            0.00,            0.00
SZ,EBS,C,2,1,2,10.000000,            0.00,            0.00
SZ,EBS,E,1,1,2,10.000000,            0.00,            0.00
SZ,EBS,C,2,3,1, 0.000000,            0.00,            0.00
SZ,EBS,E,1,3,3, 0.000000,            0.00,            0.00
SZ,EBS,C,2,4,1, 0.000000,            0.00,            0.00
SZ,EBS,C,2,5,2, 0.300000,            0.00,            0.00
SZ,EBS,E,1,5,2, 0.600000,            0.00,            0.00
SZ,EBS,C,2,6,2, 1.300000,            0.00,            0.00
SZ,EBS,E,1,6,2, 0.000000,            0.00,            0.00
SZ,ASH,O,2,1,2, 0.000000,            0.00,            0.00
SZ,ASH,O,2,2,1, 0.000000,            0.00,            0.00
SZ,ASH,O,2,3,1, 0.000000,            0.00,            0.00
SZ,ASH,O,2,4,1, 0.000000,            0.00,            0.00
SZ,ASH,O,2,5,2, 0.000000,            0.00,            0.00
SZ,ASH,O,2,6,2, 0.000000,            0.00,            0.00
SZ,EBS,O,1,1,2,10.000000,            0.00,            0.00
SZ,EBS,O,1,2,1, 0.000000,            0.00,            0.00
SZ,EBS,O,1,3,1, 0.000000,            0.00,            0.00
SZ,EBS,O,1,4,1, 0.000000,            0.00,            0.00
SZ,EBS,O,1,5,2, 0.300000,            0.00,            0.00
SZ,EBS,O,1,6,2, 1.300000,            0.00,            0.00
SZ,ASH,C,1,1,2,12.000000,            0.00,            0.00
SZ,ASH,C,1,2,1, 0.000000,            0.00,            0.00
SZ,ASH,C,1,3,1, 0.000000,            0.00,            0.00
SZ,ASH,C,1,4,1, 0.000000,            0.00,            0.00
SZ,ASH,C,1,5,2, 0.450000,            0.00,            0.00
SZ,ASH,C,1,6,2, 1.300000,            0.00,            0.00
SZ,EBS,C,1,1,2,10.000000,            0.00,            0.00
SZ,EBS,C,1,2,1, 0.000000,            0.00,            0.00
SZ,EBS,C,1,3,1, 0.000000,            0.00,            0.00
SZ,EBS,C,1,4,1, 0.000000,            0.00,            0.00
SZ,EBS,C,1,5,2, 0.300000,            0.00,            0.00
SZ,EBS,C,1,6,2, 1.300000,            0.00,            0.00
SZ,EBS,O,2,1,2, 0.000000,            0.00,            0.00
SZ,EBS,O,2,2,1, 0.000000,            0.00,            0.00
SZ,EBS,O,2,3,1, 0.000000,            0.00,            0.00
SZ,EBS,O,2,4,1, 0.000000,            0.00,            0.00
SZ,EBS,O,2,5,2, 0.000000,            0.00,            0.00
SZ,EBS,O,2,6,2, 0.000000,            0.00,            0.00
SZ,ASH,O,2,1,2, 0.000000,            0.00,            0.00
SZ,ASH,O,2,2,1, 0.000000,            0.00,            0.00
SZ,ASH,O,2,3,1, 0.000000,            0.00,            0.00
SZ,ASH,O,2,4,1, 0.000000,            0.00,            0.00
SZ,ASH,O,2,5,2, 0.000000,            0.00,            0.00
SZ,ASH,O,2,6,2, 0.000000,            0.00,            0.00
SZ,EBS,O,2,1,2, 0.000000,            0.00,            0.00
SZ,EBS,O,2,2,1, 0.000000,            0.00,            0.00
SZ,EBS,O,2,3,1, 0.000000,            0.00,            0.00
SZ,EBS,O,2,4,1, 0.000000,            0.00,            0.00
SZ,EBS,O,2,5,2, 0.000000,            0.00,            0.00
SZ,EBS,O,2,6,2, 0.000000,            0.00,            0.00
SZ,ASH,C,1,1,2,12.000000,            0.00,            0.00
SZ,ASH,C,1,2,1, 0.000000,            0.00,            0.00
SZ,ASH,C,1,3,1, 0.000000,            0.00,            0.00
SZ,ASH,C,1,4,1, 0.000000,            0.00,            0.00
SZ,ASH,C,1,5,2, 0.450000,            0.00,            0.00
SZ,ASH,C,1,6,2, 1.300000,            0.00,            0.00
SZ,EBS,C,1,1,2,10.000000,            0.00,            0.00
SZ,EBS,C,1,2,1, 0.000000,            0.00,            0.00
SZ,EBS,C,1,3,1, 0.000000,            0.00,            0.00
SZ,EBS,C,1,4,1, 0.000000,            0.00,            0.00
SZ,EBS,C,1,5,2, 0.300000,            0.00,            0.00
SZ,EBS,C,1,6,2, 1.300000,            0.00,            0.00
SZ,ASH,O,1,1,2,12.000000,            0.00,            0.00
SZ,ASH,O,1,2,1, 0.000000,            0.00,            0.00
SZ,ASH,O,1,3,1, 0.000000,            0.00,            0.00
SZ,ASH,O,1,4,1, 0.000000,            0.00,            0.00
SZ,ASH,O,1,5,2, 0.450000,            0.00,            0.00
SZ,ASH,O,1,6,2, 1.300000,            0.00,            0.00
SZ,ASH,E,1,2,1, 0.000000,            0.00,            0.00
SZ,ASH,E,1,4,1, 0.000000,            0.00,            0.00
SZ,ASH,C,2,6,2, 1.300000,            0.00,            0.00
SZ,ASH,E,1,6,2, 0.000000,            0.00,            0.00
SZ,EBS,C,2,2,1, 0.000000,            0.00,            0.00
SZ,EBS,E,1,2,1, 0.000000,            0.00,            0.00
SZ,EBS,E,1,4,1, 0.000000,            0.00,            0.00
SZ,ASH,C,2,2,1, 0.000000,            0.00,            0.00
SH,EBS,E,2,5,2, 0.000000,            0.00,            0.00
SZ,ASH,E,2,5,2, 0.000000,            0.00,            0.00
SZ,EBS,E,2,5,2, 0.000000,            0.00,            0.00
